prova,ciclo,tier,box,sbb,rp,nome,sexo,nasc,nmgc,sbb_pai,nome_pai,sbb_mae,nome_mae,criador,media
Um Ano de Freio,2025,2,100,B651168,43,RELICÁRIO DE DON COLOME,MACHO,05/01/2023,8,B552436,LOS ROTCHA RELICÁRIO,B282962,ÓPERA DA BOA VISTA,EDSON LUCAS COLOMÉ,
Um Ano de Freio,2025,2,101,B675711,08,GURIA DA CHÁCARA DA FIGUEIRA,FÊMEA,14/12/2022,6,B466229,PATAXÓ DO CERRO VELHO,B226108,BUTIÁ VALSA,CHÁCARA DA FIGUEIRA,
Um Ano de Freio,2025,2,102,B662243,28,BLOGUEIRA SUL RIOGRANDENSE,FÊMEA,05/12/2022,7,B336657,CORONEL SUL RIOGRANDENSE,B416506,LEOPOLDINA DE LOS ALAMOS,MAURICIO ZANOTELLI,
Um Ano de Freio,2025,2,103,B653956,2366,GAP QUE SUERTE,FÊMEA,02/11/2022,9,B525968,HONRADO DA PARNASSA-TE,B452448,HENOÍNA DA GAP SÃO PEDRO,PARCERIA GAP GENÉTICA,
Um Ano de Freio,2025,2,104,B643026,379,GUANABARA ARROGANTE,MACHO,20/10/2022,8,B467678,GOLILLA PATRON,B568493,GUANABARA TEMPRANA,LUIZ CARLOS DA SILVA CARVALHO JUNIOR,
Um Ano de Freio,2025,2,105,B653950,2352,GAP QUÍMICA,FÊMEA,19/10/2022,7,B396137,"FANTÁSTICO DE
SÃO PEDRO",B479031,ITAPEMA DA GAP SÃO PEDRO,PARCERIA GAP GENÉTICA,
Um Ano de Freio,2025,2,106,B642048,304,JZ ATREVIDA DA SANTA MATHILDE,FÊMEA,11/10/2022,7,B542305,SOY IGUALITO DA RECONQUISTA-TE,B295091,JZ LUCRÉCIA DA SANTA MATHILDE,ZILDA BRAGA DE AZAMBUJA,
Um Ano de Freio,2025,2,107,B635705,34,LJG HORNADA,FÊMEA,10/10/2022,6,B420173,XILENO ICO,B314360,LENDA DO ALVOROÇO,JARBAS RICARDO MUNHOZ GARCIA,
Um Ano de Freio,2025,2,108,B648582,1423,IBIRAPUITÃ DO INFINITO,MACHO,06/10/2022,7,B567483,ESCÂNDALO DO INFINITO-TE,B251188,QÜINTALLA DO INFINITO,ROBERTO SIDNEY DAVIS JÚNIOR,
Um Ano de Freio,2025,2,109,B644822,168,SARGENTO DO NONOAI,MACHO,05/10/2022,7,B235817,BALAQUEIRO DO NONOAI,B459737,KAPITU DO NONOAI,FÁBIO VACCARO,
Um Ano de Freio,2025,2,110,B647465,159,CAMBUIM MATTOS,MACHO,01/10/2022,7,B448447,"MARCONI CONCHA
Y TORO",B392630,BRUXARIA DO CAMBOIM,DIEGO NASCIMENTO DE MATTOS,
Um Ano de Freio,2025,2,111,B648619,1389,FAMÍLIA DA BOA VISTA,FÊMEA,28/09/2022,7,B536008,LAS MISIONES YUCUMÃ,B316100,IDÉIA DA BELA ALIANÇA,FAZENDA BOA VISTA,
Um Ano de Freio,2025,2,112,B648629,92,REGENTE DA CANOA MIRIM,MACHO,16/09/2022,6,B244721,LA PASSION BRILHANTE,B174988,CAPANEGRA HEBRAICA,JOÃO CARLOS PATELLA NETO,
Um Ano de Freio,2025,2,113,B672623,142,LA PÁTRIA INSPIRAÇÃO-TE,FÊMEA,13/09/2022,8,B409696,BASCO VENENO,B537243,LA PÁTRIA TRANCA,RODRIGO CASTELLARIN FIALHO,
Um Ano de Freio,2025,2,114,B635703,31,LJG HARMÔNICO,MACHO,09/09/2022,7,B294584,HARMONIA TEMPRANO,B284295,REÑACA CALA BASSA,JARBAS RICARDO MUNHOZ GARCIA,
Um Ano de Freio,2025,2,115,B648194,104,MACANUDO DO INHANDEJÚ,MACHO,06/09/2022,8,B544116,GAUDERIO DO INHANDEJÚ,B397175,APOSTA DO ITAPORORÓ,MAURO SÉRGIO MARQUES FRANCO,
Um Ano de Freio,2025,2,116,B639850,1117,ZAPICAN CHARRUA,MACHO,02/09/2022,9,B311023,LAS CALLANAS MIL RAZONES-TE,B388059,NINA CRIOULO,JOÃO ROUGET PÉREZ WREGE,
Um Ano de Freio,2025,2,117,B657737,116,DEL OESTE DO TOPO DA SERRA,MACHO,01/09/2022,7,B481753,AS MALKE ESTRIBO,B442874,MT NOBESSA DA MARIA THEREZA,GUILHERME SAMPAIO PISSETTI E JULIO CESAR PISSETTI,
Um Ano de Freio,2025,2,118,B673201,01,CCI CARTUCHO,MACHO,28/08/2022,7,B460468,MUCHACHO DA MAIOR,B267834,EF LÁGRIMA,VANDERLEI HONÓRIO GONÇALVES,
Um Ano de Freio,2025,2,119,B648409,06,CRISTAL DA MEYER,FÊMEA,09/06/2022,7,B443989,AMANTE DA SCHÜTZ,B294325,DIVINA DA SAFF,ALEXANDRE MEYER,
Um Ano de Freio,2025,2,120,B629283,09,COLIBRI DA MADRUGADA SANTA,MACHO,12/03/2022,9,B401915,JOTACE AMULETO,B262576,CHILENITA DO NONOAI,MARCOS SERPA,
Um Ano de Freio,2025,2,121,B671547,01,ALCALINA 01 DO VALETE,FÊMEA,25/02/2022,7,B408717,VALETE DO BOEIRO BRANCO,B424101,LIBERDADE F 561,LUCAS NUNES DA SILVA,
Um Ano de Freio,2025,2,122,B655695,387,ZAGAIA DO PURUÃ,FÊMEA,15/02/2022,6,B354559,ED ORELHANO,B334600,BT CANAFISTULA,STEFANO SCAGLIONI MARINI,
Um Ano de Freio,2025,2,123,B625781,14,SCSENTINELA ÁS DE ESPADA,MACHO,05/02/2022,8,B524267,SC JALISCO,B499239,SC GAITA PONTO,PARCERIA SCSENTINELA,
Um Ano de Freio,2025,2,124,B642059,43,ASW HERÓI,MACHO,25/01/2022,8,B497792,ASW ALUCINADO,B604867,ASW DENGOSA,SILVÉRIO RUFATTO,
Um Ano de Freio,2025,2,125,B671996,121,TERÇO DE TENTOS DA SAN CLEMENTE,MACHO,29/12/2021,7,B292721,AS MALKE TRUCO,B283976,PO ÁGUA NA BOCA,FELIPPE SERENA,
Um Ano de Freio,2025,2,126,B619960,407,VV JOÃO DE BARRO,MACHO,22/12/2021,7,B178908,LAUREADO DO ITAPORORÓ,B185840,DELICADA DA SANTA PAZ,VICTOR INÁCIO VOLKWEIS,
Um Ano de Freio,2025,2,128,B629122,149,PAYSANO OLHOS DE CAMPO,MACHO,07/12/2021,7,B514363,SE ERMÃO,B181240,AMIGAZA DO CANGUÇÚ,RENATO CORREA MORRONE,
Um Ano de Freio,2025,2,129,B630269,1123,REBUENA DO CAPÃO REDONDO,FÊMEA,07/12/2021,7,B426250,TAÑIDO RETOBADO,B401190,INGRATA DO CAPÃO REDONDO,ANTONIO CARLOS ALBUQUERQUE PY,
Um Ano de Freio,2025,2,131,B663273,01,ABUSADO JP PAI E FILHO,MACHO,24/11/2021,7,B457302,IMPULSO DA MAYA,B213954,VESPA 411 MAUFER,JARDEL FINKENAUER PEREIRA,
Um Ano de Freio,2025,2,132,B624932,23,HARAGANO DO CREMA,MACHO,23/11/2021,7,B436472,LADRILEÑO DO CAÇADOR,B479425,ESPERANÇA DA FURNA CRIOULA,JEFFERSON LUIZ CREMA,
Um Ano de Freio,2025,2,133,B625188,804,HELECHO DA LIBERDADE,MACHO,19/11/2021,9,B506336,HELECHO DO PURUNÃ,B317631,LIBERDADE F 388,ARTHUR LUIZ DA SILVEIRA,
Um Ano de Freio,2025,2,134,B644223,05,ADÃO DA MEYER,MACHO,06/11/2021,8,B454472,CHARQUE SILVESTRE,B397511,LAS CALLANAS JAULA OSCURA,ALEXANDRE MEYER,
Um Ano de Freio,2025,2,135,B633860,132,LA PÁTRIA ESTRELITA,FÊMEA,06/11/2021,9,B396137,FANTÁSTICO DE SÃO PEDRO,B284144,LA PÁTRIA FANFARRONA,RODRIGO CASTELLARIN FIALHO,
Um Ano de Freio,2025,2,136,B622185,527,SINAL DA CRUZ TRINCA FERRO,MACHO,04/11/2021,7,B262383,DESTAQUE DA MAIOR,B373804,QUILERO XUVISQUERA,LAURO VARELA MARTINS,
Um Ano de Freio,2025,2,137,B621076,196,CANHAFÉ RECUERDO,MACHO,01/11/2021,7,B252066,URANO DO PURUNÃ,B491211,CANHAFÉ LEMBRANÇA,FLAVIANO JUNIOR SAIBRO,
Um Ano de Freio,2025,2,138,B627491,157,CINCO J OREADA,FÊMEA,01/11/2021,7,B349886,NIAZZI IMPROVISO,B475994,CINCO J HERA,CASSIO FÉLIX JOBIM,
Um Ano de Freio,2025,2,139,B625650,22,IMPERADOR DO SANTO CERRO,MACHO,30/10/2021,8,B137740,GANADERO DA HARMONIA,B225037,RE ARISTOCRATA,PAULO EDUARDO DE LUCA MORAES,
